name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
369 Numbers,1,3,0,0.31,16.7,17,28,Saransh Bansal,Cube (Intel G860),2012,0.391,50000,1536,213,1970,329,755,78,69,736
3D Cover,1,0,0,0.67,26.75,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,1,50000,1536,78,400,107,79,31,70,113
3RETO 11 MARATÓN,2,0,0,0,7.14,0,0,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,3,42,3,22,7,9,1
4 values whose sum is 0,1,34,9,0.02,26.26,16,13,Abhilash I,Cube (Intel G860),2007,1.419,50000,1536,3198,25489,6693,5992,1474,2489,8818
4RETO 10 MARATON,2,0,0,0,36.36,0,0,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,4,11,4,3,3,1,0
4RETO 11 MARATÓN ,2,0,1,0,37.14,1,1,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,12,35,13,11,4,7,0
5RETO 10 MARATON,2,0,0,0,69.77,0,0,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,27,43,30,7,3,1,2
5RETO 10 MARATON (Calentamiento),2,0,0,0,65.22,0,0,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,14,23,15,4,2,1,1
6-Kolorowanie Grafów Planarnych,2,0,0,0,20.68,0,0,Darek Dereniowski,Cube (Intel G860),2005,0.959,50000,1536,81,967,200,383,63,250,71
6RETO 10 MARATON,2,0,0,0,100,0,0,MARATON AFDM,Cube (Intel G860),2015,1,50000,1536,3,3,3,0,0,0,0
A - Comparison Expressions,1,0,0,0.89,33.21,0,0,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,1.974,50000,1536,49,265,88,88,17,37,35
A - Crazy Rows,1,2,1,0.4,46.48,23,23,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,1.009,50000,1536,160,383,178,125,26,30,24
A + B  Problem,2,1,2,0,58.02,9,1,imranziad,Cube (Intel G860),2016,1,50000,1536,70,131,76,34,9,11,1
A Brief Expedition,1,7,1,0.33,59.14,14,12,SourSpinach,Cube (Intel G860),2014,3,50000,1536,204,394,233,66,14,18,62
A Bug’s Life,1,108,5,0.02,25.19,14,13,Daniel Gómez Didier,Cube (Intel G860),2008,0.15,50000,1536,5044,28599,7205,12835,1747,2439,4345
A Canvas Building,1,0,0,0.84,20.77,17,17,Pablo Ariel Heiber,Cube (Intel G860),2011,1.315,50000,1536,54,491,102,93,44,31,221
A Careful Reply,2,0,0,0,63.64,0,0,SourSpinach,Cube (Intel G860),2014,1,50000,1536,14,22,14,2,4,2,0
A Chase In WonderLand,1,1,0,0.23,13.22,17,1,Abhilash I,Cube (Intel G860),2007,0.192,50000,1536,311,3555,470,1136,189,202,1549
A Classic Myth - Flatland Superhero,1,0,0,1.74,54.55,0,0,Gareev,Cube (Intel G860),2012,0.1,50000,1536,5,11,6,1,2,2,0
A Coin Game,1,3,0,0.19,29.25,17,28,HNUE,Cube (Intel G860),2009,0.142,50000,1536,382,1945,569,484,101,146,642
A Colorful world,1,2,0,0.73,36.47,1,1,Shafaet,Cube (Intel G860),2014,1,50000,1536,69,351,128,145,21,9,47
A concrete simulation,1,10,0,0.05,34.55,11,9,Noszi,Cube (Intel G860),2005,7,7777,1536,1511,6998,2418,2538,274,725,1040
A conjecture of Paul Erdős,1,2,0,0.15,49.55,1,9,Robert Gerbicz,Cube (Intel G860),2009,0.439,4096,1536,505,1760,872,174,153,99,461
A conjecture of Paul Erdős (hard),1,2,0,1.82,6.52,34,34,Robert Gerbicz,Cube (Intel G860),2015,25,50000,1536,3,46,3,8,2,14,19
A Day at the Races,1,0,0,0.55,22.99,0,0,Ahmed Aly,Cube (Intel G860),2009,0.352,50000,1536,104,522,120,292,23,65,22
A Dwarf - N Snow Whites,2,0,0,0,0,0,0,AnhDQ,Cube (Intel G860),2009,0.1,50000,1536,0,22,0,18,1,2,0
